"geneSym","rankv"
"RPL35A",1
"APOC3",2
"AMBP",3
"C3",4
"CFB",5
"APOC1",6
"SERPINA1",7
"ALDOB",8
"TF",9
"ASS1",10
"EIF2S3",11
"RBP4",12
"FABP1",13
"APOA2",14
"SERPINA3",15
"APOA1",16
"FBP1",17
"AHSG",18
"HMGCS2",19
"C4BPA",20
"GC",21
"MYL6",22
"NNMT",23
"CYP2E1",24
"A2M",25
"HRG",26
"ITIH3",27
"RPL31",28
"RPS6",29
"KNG1",30
"MT1G",31
"RPS20",32
"AZGP1",33
"RPS13",34
"SERPINC1",35
"APCS",36
"AKR1C1",37
"AGT",38
"HPD",39
"UBA52",40
"PLG",41
"CYP1A2",42
"SAA4",43
"SERPING1",44
"FGB",45
"RPL6",46
"CYP3A4",47
"FGG",48
"FGL1",49
"CRP",50
"APOB",51
"SOD1",52
"HPX",53
"PEBP1",54
"IGFBP1",55
"GLTSCR2",56
"CD74",57
"ATP5A1",58
"TAT",59
"RPL24",60
"ITIH2",61
"JUND",62
"EIF1",63
"RHOB",64
"SERPINF1",65
"RPS29",66
"C1S",67
"F9",68
"HLA-A",69
"PON1",70
"SEPHS2",71
"C4BPB",72
"TMEM176A",73
"RPL38",74
"B2M",75
"MT1X",76
"MGST1",77
"LBP",78
"CYP2C8",79
"APP",80
"RPL37A",81
"PTP4A1",82
"GRHPR",83
"TMBIM6",84
"ALB",85
"F2",86
"AGXT",87
"CYP4A11",88
"PSMB4",89
"C8A",90
"RPS19",91
"MBL2",92
"LECT2",93
"SERPINA6",94
"CP",95
"CAT",96
"C8B",97
"METTL7A",98
"USMG5",99
"PCK1",100
"SERPIND1",101
"INSIG1",102
"EGR1",103
"CANX",104
"DECR1",105
"DDX17",106
"APOM",107
"MYH9",108
"GDI2",109
"SLC22A1",110
"TPM3",111
"APOC2",112
"HSPA5",113
"ITIH1",114
"PCK2",115
"HAMP",116
"HRSP12",117
"PROS1",118
"ACSL1",119
"RPS16",120
"CXCR4",121
"ADI1",122
"PLIN2",123
"RPL8",124
"AADAC",125
"SPTBN1",126
"CD81",127
"PDIA4",128
"SLC39A14",129
"ERRFI1",130
"TMEM66",131
"FGA",132
"PSAP",133
"DCXR",134
"RARRES2",135
"ADH1A",136
"PTGR1",137
"DUSP1",138
"ASGR2",139
"RPS18",140
"PRDX3",141
"HSD11B1",142
"RHOA",143
"ATP5D",144
"GOT1",145
"SAT1",146
"TM4SF4",147
"DCN",148
"CIRBP",149
"AFM",150
"CFH",151
"COX7B",152
"HBXIP",153
"ALDH1A1",154
"KLKB1",155
"CFHR2",156
"HAO1",157
"COX6B1",158
"EIF3H",159
"RPS3",160
"PIPOX",161
"C1R",162
"RPL4",163
"RPL13A",164
"MT1F",165
"TMED2",166
"MAT2A",167
"ZFP36L1",168
"ACOX1",169
"LEAP2",170
"AGTR1",171
"CDO1",172
"CES2",173
"HADHB",174
"MCL1",175
"HNRNPA1L2",176
"COX6C",177
"SC4MOL",178
"PDK4",179
"GPT2",180
"LAPTM4A",181
"PPARGC1A",182
"ABAT",183
"RDH16",184
"C6",185
"C7",186
"G0S2",187
"DDX5",188
"TDO2",189
"EDF1",190
"EEF2",191
"APOC4",192
"IFI6",193
"PIGR",194
"SLC16A1",195
"ST6GAL1",196
"CD63",197
"SERPINA10",198
"SULT2A1",199
"STOM",200
"EPHX1",201
"RPS17",202
"C9",203
"CD14",204
"IRS2",205
"ARG1",206
"SUMF2",207
"RPL35",208
"B4GALT1",209
"TST",210
"RPN2",211
"POMP",212
"CYP8B1",213
"MAT1A",214
"ACAT1",215
"FAU",216
"TRIB1",217
"SDS",218
"MAOB",219
"CCNI",220
"SPCS1",221
"AIG1",222
"EBP",223
"SLC10A1",224
"HSD17B6",225
"PLA2G2A",226
"GNAS",227
"COX5A",228
"SQSTM1",229
"C5",230
"ATOX1",231
"HSP90AA1",232
"CTSL1",233
"SLC7A2",234
"CYP27A1",235
"GUSB",236
"GABARAP",237
"CREG1",238
"APOA5",239
"RAB14",240
"ATP5L",241
"GSTK1",242
"RPS7",243
"GLRX",244
"TMEM59",245
"DAZAP1",246
"GATM",247
"MDH2",248
"MRFAP1",249
"ECHDC2",250
"HSD17B11",251
"PGRMC1",252
"ATXN10",253
"PCBD1",254
"RPLP2",255
"NDUFA1",256
"C21orf33",257
"RPS10",258
"RPL18",259
"C2",260
"LRG1",261
"MORF4L1",262
"IL32",263
"UGP2",264
"VAPA",265
"RPL11",266
"IGFBP4",267
"VIM",268
"GLUD1",269
"FXYD1",270
"SERPINA7",271
"DYNLL1",272
"BLCAP",273
"SUCLG1",274
"MRPL52",275
"BRP44L",276
"MTCH1",277
"FCER1G",278
"HSD17B4",279
"UGT2B4",280
"A1BG",281
"PHYH",282
"TPI1",283
"CPB2",284
"C20orf30",285
"TFPI",286
"PAH",287
"AOX1",288
"CYB5A",289
"SDC4",290
"PPP1R1A",291
"SLC25A5",292
"TMEM176B",293
"HSD17B2",294
"ALDH8A1",295
"QDPR",296
"PPA1",297
"STAT2",298
"TFR2",299
"MYL12A",300
"SHISA5",301
"FERMT2",302
"DSTN",303
"RBM3",304
"HAO2",305
"EPHX2",306
"REEP5",307
"DHCR24",308
"ITGB1",309
"ANGPTL3",310
"SC5DL",311
"PRDX2",312
"EPAS1",313
"NDRG2",314
"EIF3K",315
"TP53INP1",316
"ZFP36L2",317
"SPP2",318
"SSR1",319
"SGK1",320
"TSPAN13",321
"NDUFS6",322
"ALKBH5",323
"MLLT4",324
"ACOT13",325
"CMBL",326
"ID2",327
"CALM1",328
"PXMP2",329
"FCGRT",330
"AS3MT",331
"SDC1",332
"ETS2",333
"HSPA1A",334
"PSME1",335
"CPS1",336
"SORBS1",337
"ALDH9A1",338
"RNASEK",339
"AQP9",340
"RGN",341
"PABPC1",342
"FKBP5",343
"GPX2",344
"LYRM1",345
"ZC3H11A",346
"HNRNPH1",347
"YTHDF1",348
"UGT2B7",349
"TRIM8",350
"IGLV3-21",351
"NDUFA12",352
"ITM2B",353
"SLC13A5",354
"AKR1C4",355
"EHHADH",356
"HERPUD1",357
"LIPA",358
"FCN3",359
"SAT2",360
"STK24",361
"PRDX5",362
"SLC25A15",363
"CTNNB1",364
"HGD",365
"F5",366
"MGST3",367
"G6PC",368
"FAH",369
"NPC2",370
"DNAJB11",371
"SOD2",372
"FMO3",373
"ERGIC1",374
"F11R",375
"COX17",376
"ATP5O",377
"MAOA",378
"HYAL1",379
"CPN2",380
"CEBPD",381
"IL6ST",382
"BHMT",383
"IDH1",384
"C1RL",385
"YWHAG",386
"SLC27A2",387
"HNRNPA2B1",388
"RPSAP19",389
"XBP1",390
"HLA-DRA",391
"YWHAB",392
"DHRS3",393
"COX7A2",394
"FAM162A",395
"PRAP1",396
"CHI3L1",397
"COX7A2L",398
"CTGF",399
"ERP44",400
"SOCS3",401
"SERPINA5",402
"ECH1",403
"ETFA",404
"APOL1",405
"IFI30",406
"RPL36AL",407
"METTL7B",408
"UBE2B",409
"FGD2",410
"CNDP2",411
"COX5B",412
"CALD1",413
"CEBPB",414
"UQCRFS1",415
"HIGD1A",416
"ATP5B",417
"IL1RN",418
"ACSL5",419
"HPN",420
"MT1A",421
"TXNIP",422
"ALDH3A2",423
"CTSB",424
"RPS14",425
"SSR2",426
"F11",427
"HSPA9",428
"CSNK2B",429
"CUTA",430
"PGM1",431
"EIF3M",432
"KHSRP",433
"PYGL",434
"SLC40A1",435
"C5orf33",436
"ALDH1L1",437
"C3P1",438
"PRR13",439
"EBPL",440
"PON2",441
"SCARB2",442
"CLIC1",443
"TMCO1",444
"KARS",445
"ACADVL",446
"SLC27A5",447
"SLC25A6",448
"CDK2AP1",449
"ARGLU1",450
"CD59",451
"ETFB",452
"CDH1",453
"HIBADH",454
"MBNL2",455
"ATP6V1G1",456
"TIMP2",457
"RCAN1",458
"CFI",459
"SLC47A1",460
"FOS",461
"TNFRSF10B",462
"CMTM6",463
"EXOSC6",464
"TIMP1",465
"PSMF1",466
"ACADSB",467
"KDELR2",468
"DPT",469
"TOB1",470
"RBMS1",471
"EIF3E",472
"SKI",473
"BAT1",474
"MAGT1",475
"TUFM",476
"SEL1L",477
"NSUN2",478
"RPL10A",479
"ACAA1",480
"HSPA8",481
"RPS4X",482
"CD302",483
"CST3",484
"SET",485
"MTHFD1",486
"TM9SF3",487
"PROC",488
"TGFBI",489
"BAAT",490
"LIPC",491
"SRPR",492
"HNRPDL",493
"SERINC3",494
"HMGCS1",495
"MSN",496
"CYP3A7",497
"CLTC",498
"ENO1",499
"GADD45A",500
"ITFG1",501
"GNMT",502
"PSMB7",503
"AMDHD1",504
"CBR1",505
"KLF6",506
"FTCD",507
"ATP5C1",508
"SLC2A2",509
"PPAP2B",510
"SEC62",511
"SCCPDH",512
"CTNNA1",513
"CA2",514
"HNMT",515
"DAP",516
"TMEM97",517
"RNF130",518
"SAP18",519
"NIT2",520
"MYLK",521
"C20orf24",522
"BASP1",523
